

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%161, mode: 0, baseline: 2035.969400, time: 2036.082000, offp: -0.005531, speedup: 0.999945
%161, mode: 1, baseline: 2035.969400, time: 2019.947000, offp: 0.786967, speedup: 1.007932
%168, mode: 0, baseline: 2035.969400, time: 2035.988000, offp: -0.000914, speedup: 0.999991
%168, mode: 1, baseline: 2035.969400, time: 2022.042000, offp: 0.684067, speedup: 1.006888
%175, mode: 0, baseline: 2035.969400, time: 2036.050000, offp: -0.003959, speedup: 0.999960
%175, mode: 1, baseline: 2035.969400, time: 2020.773000, offp: 0.746396, speedup: 1.007520
%182, mode: 0, baseline: 2035.969400, time: 2035.732000, offp: 0.011660, speedup: 1.000117
%182, mode: 1, baseline: 2035.969400, time: 2020.071000, offp: 0.780876, speedup: 1.007870
%189, mode: 0, baseline: 2035.969400, time: 2036.263000, offp: -0.014421, speedup: 0.999856
%189, mode: 1, baseline: 2035.969400, time: 2022.724000, offp: 0.650570, speedup: 1.006548
%195, mode: 0, baseline: 2035.969400, time: 2036.497000, offp: -0.025914, speedup: 0.999741
%195, mode: 1, baseline: 2035.969400, time: 2023.141000, offp: 0.630088, speedup: 1.006341
%203, mode: 0, baseline: 2035.969400, time: 2035.914000, offp: 0.002721, speedup: 1.000027
%203, mode: 1, baseline: 2035.969400, time: 2003.532000, offp: 1.593216, speedup: 1.016190
%209, mode: 0, baseline: 2035.969400, time: 2036.049000, offp: -0.003910, speedup: 0.999961
%209, mode: 1, baseline: 2035.969400, time: 2000.557000, offp: 1.739339, speedup: 1.017701
%215, mode: 0, baseline: 2035.969400, time: 2036.359000, offp: -0.019136, speedup: 0.999809
%215, mode: 1, baseline: 2035.969400, time: 2003.282000, offp: 1.605496, speedup: 1.016317
%221, mode: 0, baseline: 2035.969400, time: 2036.118000, offp: -0.007299, speedup: 0.999927
%221, mode: 1, baseline: 2035.969400, time: 2002.080000, offp: 1.664534, speedup: 1.016927
%227, mode: 0, baseline: 2035.969400, time: 2036.051000, offp: -0.004008, speedup: 0.999960
%227, mode: 1, baseline: 2035.969400, time: 2002.377000, offp: 1.649946, speedup: 1.016776
%233, mode: 0, baseline: 2035.969400, time: 2035.898000, offp: 0.003507, speedup: 1.000035
%233, mode: 1, baseline: 2035.969400, time: 2001.525000, offp: 1.691794, speedup: 1.017209
%239, mode: 0, baseline: 2035.969400, time: 2035.902000, offp: 0.003310, speedup: 1.000033
%239, mode: 1, baseline: 2035.969400, time: 2003.165000, offp: 1.611242, speedup: 1.016376
%245, mode: 0, baseline: 2035.969400, time: 2035.564000, offp: 0.019912, speedup: 1.000199
%245, mode: 1, baseline: 2035.969400, time: 2002.287000, offp: 1.654367, speedup: 1.016822
%251, mode: 0, baseline: 2035.969400, time: 2035.765000, offp: 0.010039, speedup: 1.000100
