

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%151, mode: 0, baseline: 494.455200, time: 494.828000, offp: -0.075396, speedup: 0.999247
%151, mode: 1, baseline: 494.455200, time: 489.961000, offp: 0.908920, speedup: 1.009173
%158, mode: 0, baseline: 494.455200, time: 494.298000, offp: 0.031793, speedup: 1.000318
%158, mode: 1, baseline: 494.455200, time: 489.433000, offp: 1.015704, speedup: 1.010261
%165, mode: 0, baseline: 494.455200, time: 494.505000, offp: -0.010072, speedup: 0.999899
%165, mode: 1, baseline: 494.455200, time: 489.527000, offp: 0.996693, speedup: 1.010067
%172, mode: 0, baseline: 494.455200, time: 494.714000, offp: -0.052340, speedup: 0.999477
%172, mode: 1, baseline: 494.455200, time: 489.395000, offp: 1.023389, speedup: 1.010340
%178, mode: 0, baseline: 494.455200, time: 494.473000, offp: -0.003600, speedup: 0.999964
%178, mode: 1, baseline: 494.455200, time: 489.082000, offp: 1.086691, speedup: 1.010986
%185, mode: 0, baseline: 494.455200, time: 494.852000, offp: -0.080250, speedup: 0.999198
%185, mode: 1, baseline: 494.455200, time: 492.374000, offp: 0.420908, speedup: 1.004227
%191, mode: 0, baseline: 494.455200, time: 494.267000, offp: 0.038062, speedup: 1.000381
%191, mode: 1, baseline: 494.455200, time: 492.576000, offp: 0.380055, speedup: 1.003815
%197, mode: 0, baseline: 494.455200, time: 494.657000, offp: -0.040813, speedup: 0.999592
%197, mode: 1, baseline: 494.455200, time: 493.133000, offp: 0.267405, speedup: 1.002681
%203, mode: 0, baseline: 494.455200, time: 494.795000, offp: -0.068722, speedup: 0.999313
%203, mode: 1, baseline: 494.455200, time: 493.173000, offp: 0.259316, speedup: 1.002600
%209, mode: 0, baseline: 494.455200, time: 494.918000, offp: -0.093598, speedup: 0.999065
%209, mode: 1, baseline: 494.455200, time: 492.697000, offp: 0.355583, speedup: 1.003569
%215, mode: 0, baseline: 494.455200, time: 494.188000, offp: 0.054039, speedup: 1.000541
%215, mode: 1, baseline: 494.455200, time: 493.382000, offp: 0.217047, speedup: 1.002175
%221, mode: 0, baseline: 494.455200, time: 494.594000, offp: -0.028071, speedup: 0.999719
