

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%151, mode: 0, baseline: 494.136400, time: 494.311000, offp: -0.035334, speedup: 0.999647
%151, mode: 1, baseline: 494.136400, time: 489.827000, offp: 0.872107, speedup: 1.008798
%158, mode: 0, baseline: 494.136400, time: 494.144000, offp: -0.001538, speedup: 0.999985
%158, mode: 1, baseline: 494.136400, time: 489.006000, offp: 1.038256, speedup: 1.010491
%165, mode: 0, baseline: 494.136400, time: 494.413000, offp: -0.055976, speedup: 0.999441
%165, mode: 1, baseline: 494.136400, time: 488.896000, offp: 1.060517, speedup: 1.010719
%172, mode: 0, baseline: 494.136400, time: 494.329000, offp: -0.038977, speedup: 0.999610
%172, mode: 1, baseline: 494.136400, time: 488.704000, offp: 1.099373, speedup: 1.011116
%178, mode: 0, baseline: 494.136400, time: 494.046000, offp: 0.018295, speedup: 1.000183
%178, mode: 1, baseline: 494.136400, time: 489.117000, offp: 1.015792, speedup: 1.010262
%185, mode: 0, baseline: 494.136400, time: 494.055000, offp: 0.016473, speedup: 1.000165
%185, mode: 1, baseline: 494.136400, time: 492.263000, offp: 0.379126, speedup: 1.003806
%191, mode: 0, baseline: 494.136400, time: 494.641000, offp: -0.102118, speedup: 0.998980
%191, mode: 1, baseline: 494.136400, time: 492.354000, offp: 0.360710, speedup: 1.003620
%197, mode: 0, baseline: 494.136400, time: 494.268000, offp: -0.026632, speedup: 0.999734
%197, mode: 1, baseline: 494.136400, time: 492.691000, offp: 0.292510, speedup: 1.002934
%203, mode: 0, baseline: 494.136400, time: 494.126000, offp: 0.002105, speedup: 1.000021
%203, mode: 1, baseline: 494.136400, time: 492.857000, offp: 0.258916, speedup: 1.002596
%209, mode: 0, baseline: 494.136400, time: 494.232000, offp: -0.019347, speedup: 0.999807
%209, mode: 1, baseline: 494.136400, time: 492.656000, offp: 0.299593, speedup: 1.003005
%215, mode: 0, baseline: 494.136400, time: 494.140000, offp: -0.000729, speedup: 0.999993
%215, mode: 1, baseline: 494.136400, time: 493.084000, offp: 0.212978, speedup: 1.002134
%221, mode: 0, baseline: 494.136400, time: 494.065000, offp: 0.014449, speedup: 1.000145
%221, mode: 1, baseline: 494.136400, time: 492.873000, offp: 0.255678, speedup: 1.002563
%227, mode: 0, baseline: 494.136400, time: 494.298000, offp: -0.032704, speedup: 0.999673
%227, mode: 1, baseline: 494.136400, time: 492.933000, offp: 0.243536, speedup: 1.002441
%233, mode: 0, baseline: 494.136400, time: 493.938000, offp: 0.040151, speedup: 1.000402
%233, mode: 1, baseline: 494.136400, time: 493.003000, offp: 0.229370, speedup: 1.002299
