

------------------------------ kernel_name: _Z9conv_colsPfPKfS1_iii ------------------------------
baseline_profiling #####
%161, mode: 0, baseline: 2036.793400, time: 2036.644000, offp: 0.007335, speedup: 1.000073
%161, mode: 1, baseline: 2036.793400, time: 2022.186000, offp: 0.717176, speedup: 1.007224
%168, mode: 0, baseline: 2036.793400, time: 2036.600000, offp: 0.009495, speedup: 1.000095
%168, mode: 1, baseline: 2036.793400, time: 2025.258000, offp: 0.566351, speedup: 1.005696
%175, mode: 0, baseline: 2036.793400, time: 2036.466000, offp: 0.016074, speedup: 1.000161
%175, mode: 1, baseline: 2036.793400, time: 2023.100000, offp: 0.672302, speedup: 1.006769
%182, mode: 0, baseline: 2036.793400, time: 2036.405000, offp: 0.019069, speedup: 1.000191
%182, mode: 1, baseline: 2036.793400, time: 2016.230000, offp: 1.009597, speedup: 1.010199
%189, mode: 0, baseline: 2036.793400, time: 2036.811000, offp: -0.000864, speedup: 0.999991
%189, mode: 1, baseline: 2036.793400, time: 2022.450000, offp: 0.704215, speedup: 1.007092
%195, mode: 0, baseline: 2036.793400, time: 2036.325000, offp: 0.022997, speedup: 1.000230
%195, mode: 1, baseline: 2036.793400, time: 2021.653000, offp: 0.743345, speedup: 1.007489
%203, mode: 0, baseline: 2036.793400, time: 2036.027000, offp: 0.037628, speedup: 1.000376
%203, mode: 1, baseline: 2036.793400, time: 2003.193000, offp: 1.649671, speedup: 1.016773
%209, mode: 0, baseline: 2036.793400, time: 2036.298000, offp: 0.024323, speedup: 1.000243
%209, mode: 1, baseline: 2036.793400, time: 2003.641000, offp: 1.627676, speedup: 1.016546
%215, mode: 0, baseline: 2036.793400, time: 2036.324000, offp: 0.023046, speedup: 1.000231
%215, mode: 1, baseline: 2036.793400, time: 2003.484000, offp: 1.635384, speedup: 1.016626
%221, mode: 0, baseline: 2036.793400, time: 2036.512000, offp: 0.013816, speedup: 1.000138
%221, mode: 1, baseline: 2036.793400, time: 2003.421000, offp: 1.638477, speedup: 1.016658
%227, mode: 0, baseline: 2036.793400, time: 2036.744000, offp: 0.002425, speedup: 1.000024
%227, mode: 1, baseline: 2036.793400, time: 2001.785000, offp: 1.718800, speedup: 1.017489
%233, mode: 0, baseline: 2036.793400, time: 2036.482000, offp: 0.015289, speedup: 1.000153
%233, mode: 1, baseline: 2036.793400, time: 2002.566000, offp: 1.680455, speedup: 1.017092
%239, mode: 0, baseline: 2036.793400, time: 2036.398000, offp: 0.019413, speedup: 1.000194
%239, mode: 1, baseline: 2036.793400, time: 2002.817000, offp: 1.668132, speedup: 1.016964
%245, mode: 0, baseline: 2036.793400, time: 2035.635000, offp: 0.056874, speedup: 1.000569
%245, mode: 1, baseline: 2036.793400, time: 2003.313000, offp: 1.643780, speedup: 1.016713
%251, mode: 0, baseline: 2036.793400, time: 2036.661000, offp: 0.006500, speedup: 1.000065
%251, mode: 1, baseline: 2036.793400, time: 2005.612000, offp: 1.530906, speedup: 1.015547
%255, mode: 0, baseline: 2036.793400, time: 2036.339000, offp: 0.022310, speedup: 1.000223
%255, mode: 1, baseline: 2036.793400, time: 2004.158000, offp: 1.602293, speedup: 1.016284
%261, mode: 0, baseline: 2036.793400, time: 2036.692000, offp: 0.004978, speedup: 1.000050
%261, mode: 1, baseline: 2036.793400, time: 2005.578000, offp: 1.532576, speedup: 1.015564
%267, mode: 0, baseline: 2036.793400, time: 2036.514000, offp: 0.013718, speedup: 1.000137
%267, mode: 1, baseline: 2036.793400, time: 2004.215000, offp: 1.599495, speedup: 1.016255
%273, mode: 0, baseline: 2036.793400, time: 2036.881000, offp: -0.004301, speedup: 0.999957
%273, mode: 1, baseline: 2036.793400, time: 2003.683000, offp: 1.625614, speedup: 1.016525
%279, mode: 0, baseline: 2036.793400, time: 2036.875000, offp: -0.004006, speedup: 0.999960
%279, mode: 1, baseline: 2036.793400, time: 2005.522000, offp: 1.535325, speedup: 1.015593
%285, mode: 0, baseline: 2036.793400, time: 2036.325000, offp: 0.022997, speedup: 1.000230
%285, mode: 1, baseline: 2036.793400, time: 2004.008000, offp: 1.609658, speedup: 1.016360
%291, mode: 0, baseline: 2036.793400, time: 2036.197000, offp: 0.029281, speedup: 1.000293
%291, mode: 1, baseline: 2036.793400, time: 2005.218000, offp: 1.550251, speedup: 1.015747
%297, mode: 0, baseline: 2036.793400, time: 2036.546000, offp: 0.012147, speedup: 1.000121
%297, mode: 1, baseline: 2036.793400, time: 2005.418000, offp: 1.540431, speedup: 1.015645
%306, mode: 0, baseline: 2036.793400, time: 2036.655000, offp: 0.006795, speedup: 1.000068
%306, mode: 1, baseline: 2036.793400, time: 1993.519000, offp: 2.124634, speedup: 1.021708
%312, mode: 0, baseline: 2036.793400, time: 2036.322000, offp: 0.023144, speedup: 1.000231
%312, mode: 1, baseline: 2036.793400, time: 1992.384000, offp: 2.180359, speedup: 1.022290
%318, mode: 0, baseline: 2036.793400, time: 2036.707000, offp: 0.004242, speedup: 1.000042
%318, mode: 1, baseline: 2036.793400, time: 1993.604000, offp: 2.120461, speedup: 1.021664
%324, mode: 0, baseline: 2036.793400, time: 2036.516000, offp: 0.013619, speedup: 1.000136
%324, mode: 1, baseline: 2036.793400, time: 1993.347000, offp: 2.133078, speedup: 1.021796
%330, mode: 0, baseline: 2036.793400, time: 2036.395000, offp: 0.019560, speedup: 1.000196
%330, mode: 1, baseline: 2036.793400, time: 1993.293000, offp: 2.135730, speedup: 1.021823
%336, mode: 0, baseline: 2036.793400, time: 2036.284000, offp: 0.025010, speedup: 1.000250
%336, mode: 1, baseline: 2036.793400, time: 1994.121000, offp: 2.095077, speedup: 1.021399
%342, mode: 0, baseline: 2036.793400, time: 2036.436000, offp: 0.017547, speedup: 1.000176
%342, mode: 1, baseline: 2036.793400, time: 1991.231000, offp: 2.236967, speedup: 1.022882
%348, mode: 0, baseline: 2036.793400, time: 2036.187000, offp: 0.029772, speedup: 1.000298
%348, mode: 1, baseline: 2036.793400, time: 1988.247000, offp: 2.383472, speedup: 1.024417
%354, mode: 0, baseline: 2036.793400, time: 2036.435000, offp: 0.017596, speedup: 1.000176
%354, mode: 1, baseline: 2036.793400, time: 1993.106000, offp: 2.144911, speedup: 1.021919
%358, mode: 0, baseline: 2036.793400, time: 2037.427000, offp: -0.031108, speedup: 0.999689
%358, mode: 1, baseline: 2036.793400, time: 1996.490000, offp: 1.978767, speedup: 1.020187
%364, mode: 0, baseline: 2036.793400, time: 2036.552000, offp: 0.011852, speedup: 1.000119
%364, mode: 1, baseline: 2036.793400, time: 1995.038000, offp: 2.050056, speedup: 1.020930
%370, mode: 0, baseline: 2036.793400, time: 2036.724000, offp: 0.003407, speedup: 1.000034
%370, mode: 1, baseline: 2036.793400, time: 1995.244000, offp: 2.039942, speedup: 1.020824
%376, mode: 0, baseline: 2036.793400, time: 2036.699000, offp: 0.004635, speedup: 1.000046
%376, mode: 1, baseline: 2036.793400, time: 1995.423000, offp: 2.031153, speedup: 1.020733
%382, mode: 0, baseline: 2036.793400, time: 2036.355000, offp: 0.021524, speedup: 1.000215
%382, mode: 1, baseline: 2036.793400, time: 1991.746000, offp: 2.211682, speedup: 1.022617
%388, mode: 0, baseline: 2036.793400, time: 2036.351000, offp: 0.021720, speedup: 1.000217
%388, mode: 1, baseline: 2036.793400, time: 1995.449000, offp: 2.029877, speedup: 1.020719
