

------------------------------ kernel_name: _Z9conv_rowsPfPKfS1_iii ------------------------------
baseline_profiling #####
%151, mode: 0, baseline: 494.363800, time: 494.216000, offp: 0.029897, speedup: 1.000299
%151, mode: 1, baseline: 494.363800, time: 489.673000, offp: 0.948856, speedup: 1.009579
%158, mode: 0, baseline: 494.363800, time: 494.364000, offp: -0.000040, speedup: 1.000000
%158, mode: 1, baseline: 494.363800, time: 488.883000, offp: 1.108657, speedup: 1.011211
%165, mode: 0, baseline: 494.363800, time: 494.111000, offp: 0.051136, speedup: 1.000512
%165, mode: 1, baseline: 494.363800, time: 488.793000, offp: 1.126862, speedup: 1.011397
%172, mode: 0, baseline: 494.363800, time: 494.647000, offp: -0.057286, speedup: 0.999427
%172, mode: 1, baseline: 494.363800, time: 488.907000, offp: 1.103803, speedup: 1.011161
%178, mode: 0, baseline: 494.363800, time: 493.970000, offp: 0.079658, speedup: 1.000797
%178, mode: 1, baseline: 494.363800, time: 488.964000, offp: 1.092273, speedup: 1.011043
%185, mode: 0, baseline: 494.363800, time: 494.235000, offp: 0.026054, speedup: 1.000261
%185, mode: 1, baseline: 494.363800, time: 492.289000, offp: 0.419691, speedup: 1.004215
%191, mode: 0, baseline: 494.363800, time: 494.426000, offp: -0.012582, speedup: 0.999874
%191, mode: 1, baseline: 494.363800, time: 492.171000, offp: 0.443560, speedup: 1.004455
%197, mode: 0, baseline: 494.363800, time: 493.870000, offp: 0.099886, speedup: 1.001000
%197, mode: 1, baseline: 494.363800, time: 492.601000, offp: 0.356580, speedup: 1.003579
%203, mode: 0, baseline: 494.363800, time: 494.187000, offp: 0.035763, speedup: 1.000358
%203, mode: 1, baseline: 494.363800, time: 493.042000, offp: 0.267374, speedup: 1.002681
%209, mode: 0, baseline: 494.363800, time: 494.333000, offp: 0.006230, speedup: 1.000062
%209, mode: 1, baseline: 494.363800, time: 492.472000, offp: 0.382674, speedup: 1.003841
%215, mode: 0, baseline: 494.363800, time: 494.000000, offp: 0.073590, speedup: 1.000736
%215, mode: 1, baseline: 494.363800, time: 493.033000, offp: 0.269194, speedup: 1.002699
%221, mode: 0, baseline: 494.363800, time: 494.402000, offp: -0.007727, speedup: 0.999923
%221, mode: 1, baseline: 494.363800, time: 493.191000, offp: 0.237234, speedup: 1.002378
%227, mode: 0, baseline: 494.363800, time: 494.123000, offp: 0.048709, speedup: 1.000487
%227, mode: 1, baseline: 494.363800, time: 493.016000, offp: 0.272633, speedup: 1.002734
%233, mode: 0, baseline: 494.363800, time: 494.454000, offp: -0.018246, speedup: 0.999818
%233, mode: 1, baseline: 494.363800, time: 493.041000, offp: 0.267576, speedup: 1.002683
%237, mode: 0, baseline: 494.363800, time: 494.356000, offp: 0.001578, speedup: 1.000016
%237, mode: 1, baseline: 494.363800, time: 492.823000, offp: 0.311673, speedup: 1.003126
%243, mode: 0, baseline: 494.363800, time: 494.380000, offp: -0.003277, speedup: 0.999967
%243, mode: 1, baseline: 494.363800, time: 492.831000, offp: 0.310055, speedup: 1.003110
%249, mode: 0, baseline: 494.363800, time: 494.243000, offp: 0.024435, speedup: 1.000244
%249, mode: 1, baseline: 494.363800, time: 493.000000, offp: 0.275870, speedup: 1.002766
%255, mode: 0, baseline: 494.363800, time: 493.966000, offp: 0.080467, speedup: 1.000805
%255, mode: 1, baseline: 494.363800, time: 492.731000, offp: 0.330283, speedup: 1.003314
%261, mode: 0, baseline: 494.363800, time: 494.174000, offp: 0.038393, speedup: 1.000384
%261, mode: 1, baseline: 494.363800, time: 492.780000, offp: 0.320371, speedup: 1.003214
%267, mode: 0, baseline: 494.363800, time: 494.395000, offp: -0.006311, speedup: 0.999937
%267, mode: 1, baseline: 494.363800, time: 492.889000, offp: 0.298323, speedup: 1.002992
%273, mode: 0, baseline: 494.363800, time: 494.263000, offp: 0.020390, speedup: 1.000204
%273, mode: 1, baseline: 494.363800, time: 492.899000, offp: 0.296300, speedup: 1.002972
%279, mode: 0, baseline: 494.363800, time: 494.508000, offp: -0.029169, speedup: 0.999708
%279, mode: 1, baseline: 494.363800, time: 492.937000, offp: 0.288613, speedup: 1.002894
%286, mode: 0, baseline: 494.363800, time: 493.982000, offp: 0.077231, speedup: 1.000773
%286, mode: 1, baseline: 494.363800, time: 491.868000, offp: 0.504851, speedup: 1.005074
%292, mode: 0, baseline: 494.363800, time: 494.122000, offp: 0.048911, speedup: 1.000489
%292, mode: 1, baseline: 494.363800, time: 491.944000, offp: 0.489478, speedup: 1.004919
%298, mode: 0, baseline: 494.363800, time: 493.891000, offp: 0.095638, speedup: 1.000957
%298, mode: 1, baseline: 494.363800, time: 492.275000, offp: 0.422523, speedup: 1.004243
%304, mode: 0, baseline: 494.363800, time: 493.930000, offp: 0.087749, speedup: 1.000878
%304, mode: 1, baseline: 494.363800, time: 492.111000, offp: 0.455697, speedup: 1.004578
